Process Name,Memory Usage,CPU Usage
chrome.exe,80465920,0
chrome.exe,11063296,0
msedgewebview2.exe,3198976,0
WINWORD.EXE,98103296,0
WmiPrvSE.exe,25645056,0
msedge.exe,8474624,0
chrome.exe,27226112,0
Code.exe,35971072,0
conhost.exe,10887168,0
TabNine-deep-local.exe,477896704,0
msedge.exe,25481216,0
svchost.exe,8126464,0
chrome.exe,41037824,0
steamwebhelper.exe,10481664,0
chrome.exe,31404032,0
backgroundTaskHost.exe,25559040,0
steamwebhelper.exe,63000576,0
mc-neo-host.exe,10555392,0
powershell.exe,65384448,0
WD-TabNine.exe,22511616,0
chrome.exe,24186880,0
Code.exe,141852672,0
msedge.exe,22089728,0
chrome.exe,170225664,0
Code.exe,343101440,0
SearchFilterHost.exe,9572352,0
chrome.exe,209539072,0
steamwebhelper.exe,35586048,0
Code.exe,51359744,0
chrome.exe,30060544,0
CodeSetup-stable-b58957e67ee1e712cebf466b995adf4c5307b2bd.exe,12607488,0
RuntimeBroker.exe,8646656,0
conhost.exe,6631424,0
chrome.exe,26132480,0
Code.exe,86564864,0
conhost.exe,6701056,0
OneDrive.exe,36589568,0
